Program,Organization,Type,Rating,Difficulty,Students,Students_old
Data Science: Foundations using R,Johns Hopkins University,Specialization,4.6,Beginner,740000,740k
Data Science: Statistics and Machine Learning,Johns Hopkins University,Specialization,4.4,Intermediate,210000,210k
Data Visualization and Communication with Tableau,Duke University,Course,4.7,Mixed,130000,130k
Data Visualization with Advanced Excel,PwC,Course,4.8,Beginner,60000,60k
Data Visualization with Python,IBM,Course,4.6,Intermediate,66000,66k
Data Visualization with Tableau,"University of California, Davis",Specialization,4.5,Beginner,96000,96k
Data Warehousing for Business Intelligence,University of Colorado System,Specialization,4.5,Advanced,140000,140k
Data and Health Indicators in Public Health Practice,Johns Hopkins University,Course,4.7,Beginner,18000,18k
Data-driven Decision Making,PwC,Course,4.6,Beginner,120000,120k
Databases and SQL for Data Science,IBM,Course,4.7,Beginner,110000,110k
De-Mystifying Mindfulness,Universiteit Leiden,Course,4.8,Beginner,150000,150k
Decision-Making and Scenarios,University of Pennsylvania,Course,4.6,Mixed,31000,31k
Deep Learning,deeplearning.ai,Specialization,4.8,Intermediate,690000,690k
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,Course,4.8,Beginner,44000,44k
Dentistry 101,University of Michigan,Course,4.7,Beginner,4500,4.5k
Dermatology: Trip to skin,Novosibirsk State University ,Course,4.4,Beginner,8200,8.2k
Design Thinking for Innovation,University of Virginia,Course,4.6,Beginner,240000,240k
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,Course,4.6,Beginner,17000,17k
Design and Interpretation of Clinical Trials,Johns Hopkins University,Course,4.7,Mixed,67000,67k
Design and Make Infographics (Project-Centered Course),Michigan State University,Course,4.7,Mixed,97000,97k
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,Course,4.6,Intermediate,19000,19k
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,Specialization,4.6,Intermediate,16000,16k
Developing Applications with Google Cloud Platform,Google Cloud,Specialization,4.7,Intermediate,300000,300k
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,Specialization,4.8,Intermediate,4000,4k
Developing Industrial Internet of Things,University of Colorado Boulder,Specialization,4.6,Intermediate,8000,8k
Developing Your Musicianship,Berklee College of Music,Course,4.8,Mixed,41000,41k
Developing Your Musicianship,Berklee College of Music,Specialization,4.8,Beginner,54000,54k
Devenir entrepreneur du changement,Ticket for Change,Course,4.7,Mixed,54000,54k
Digital Advertising Strategy,University of Colorado Boulder,Specialization,4.4,Beginner,9000,9k
Digital Business Models,Lund University,Course,4.5,Beginner,21000,21k
Digital Manufacturing & Design Technology,University at Buffalo,Specialization,4.6,Beginner,37000,37k
Digital Marketing,University of Illinois at Urbana-Champaign,Specialization,4.6,Beginner,380000,380k
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,Course,4.4,Mixed,57000,57k
Digital Product Management,University of Virginia,Specialization,4.7,Beginner,140000,140k
Digital Product Management: Modern Fundamentals,University of Virginia,Course,4.7,Beginner,58000,58k
Dino 101: Dinosaur Paleobiology,University of Alberta,Course,4.5,Beginner,35000,35k
Discrete Optimization,The University of Melbourne,Course,4.9,Intermediate,40000,40k
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,Specialization,4.6,Beginner,4000,4k
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,Course,4.9,Beginner,21000,21k
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,Course,4.8,Intermediate,130000,130k
Dog Emotion and Cognition,Duke University,Course,4.6,Mixed,150000,150k
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,Course,4.8,Beginner,5600,5.6k
Drug Commercialization,University of California San Diego,Course,4.7,Beginner,17000,17k
Drug Discovery,University of California San Diego,Course,4.6,Beginner,39000,39k
Dynamic Public Speaking,University of Washington,Specialization,4.7,Beginner,110000,110k
EMT Foundations,University of Colorado System,Course,4.8,Beginner,7100,7.1k
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,Course,4.8,Intermediate,18000,18k
Econometrics: Methods and Applications,Erasmus University Rotterdam,Course,4.7,Mixed,110000,110k
Economics of Money and Banking,Columbia University,Course,4.9,Mixed,83000,83k
Ecosystem Services: a Method for Sustainable Development,University of Geneva,Course,4.7,Intermediate,16000,16k
Effective Compliance Programs,University of Pennsylvania,Course,4.9,Mixed,3400,3.4k
Egiptología (Egyptology),Universitat Autònoma de Barcelona,Course,4.9,Beginner,46000,46k
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,Course,5.0,Beginner,1500,1.5k
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,Course,4.7,Intermediate,57000,57k
Electric Industry Operations and Markets,Duke University,Course,4.8,Beginner,12000,12k
Electronic Music Production,Berklee College of Music,Specialization,4.8,Intermediate,110000,110k
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,Specialization,4.6,Beginner,17000,17k
